county,station,date,rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,sun,vis,clht,clamt
Mayo,BELMULLET,1990-01,214.8,7.35,6.06,4.28,8.47,81.48,1002.24,19.5,231.59,0.04,22205.65,283.88,5.82
Mayo,BELMULLET,1990-02,236.1,6.83,5.49,3.57,8.08,80.47,993.67,22.82,221.64,0.06,22843.75,199.71,6.44
Mayo,BELMULLET,1990-03,94.5,8.8,7.43,5.64,9.32,81.2,1019.93,19.93,222.98,0.06,19561.16,121.28,6.86
Mayo,BELMULLET,1990-04,90.5,8.43,6.88,4.86,8.85,79.07,1016.96,13.95,219.04,0.24,25012.08,360.09,5.34
Mayo,BELMULLET,1990-05,19.6,12.83,10.86,8.95,11.56,78.3,1020.3,9.05,182.77,0.25,27832.26,302.14,5.53
Mayo,BELMULLET,1990-06,113.7,12.4,10.78,9.17,11.67,81.15,1010.95,12.52,213.83,0.18,35133.33,139.22,6.51
Mayo,BELMULLET,1990-07,76.4,15.46,13.83,12.52,14.68,83.31,1016.73,12.64,196.6,0.23,28386.96,285.07,5.77
Mayo,BELMULLET,1990-08,79.2,15.08,13.9,12.91,15.03,87.3,1016.01,13.44,233.98,0.08,25203.09,87.41,7.02
Mayo,BELMULLET,1990-09,54.0,12.3,10.83,9.33,11.94,82.84,1018.59,11.74,228.61,0.13,29759.58,288.48,5.74
Mayo,BELMULLET,1990-10,226.0,11.35,10.11,8.81,11.5,84.81,1002.14,15.14,200.38,0.09,24228.76,177.47,6.35
Mayo,BELMULLET,1990-11,96.1,8.08,6.86,5.28,9.1,82.95,1013.95,12.25,173.22,0.09,27740.97,306.38,5.41
Mayo,BELMULLET,1990-12,145.7,6.52,5.34,3.62,8.13,82.27,1014.64,15.01,214.03,0.04,22994.22,216.42,6.22
Mayo,BELMULLET,1991-01,125.3,5.59,4.42,2.63,7.55,81.93,1011.74,16.51,198.82,0.07,25574.19,280.89,5.75
Mayo,BELMULLET,1991-02,86.2,4.7,3.71,2.17,7.34,84.2,1014.25,10.81,190.89,0.13,25455.8,387.93,5.22
Mayo,BELMULLET,1991-03,80.1,8.22,7.24,6.02,9.48,86.51,1008.5,10.6,179.11,0.11,22193.41,206.07,6.37
Mayo,BELMULLET,1991-04,148.2,8.57,7.12,5.24,9.01,80.29,1013.42,15.71,189.42,0.18,26161.53,271.97,5.91
Mayo,BELMULLET,1991-05,19.6,11.09,9.8,8.44,11.18,84.39,1028.83,10.97,213.19,0.19,23591.4,244.71,6.07
Mayo,BELMULLET,1991-06,81.4,12.13,10.56,8.95,11.58,81.59,1009.53,12.95,210.15,0.22,31027.08,216.35,6.07
